Countries,ExportValue,ImportValue,Year,Latitude,Longitude
Mexico,986.6,219.6,2017,22.925,-101.68
Mexico,762.7,212.9,2010,22.925,-101.68
Mexico,824,197.6,2015,22.925,-101.68
Mexico,850.9,187.5,2014,22.925,-101.68
Mexico,815.1,177,2016,22.925,-101.68
Mexico,426.1,149.4,2008,22.925,-101.68
Mexico,384,139.8,2009,22.925,-101.68
Mexico,361,67.8,2007,22.925,-101.68
Mexico,318.1,31.4,2006,22.925,-101.68
Mexico,277.1,28.7,2005,22.925,-101.68
Mexico,279.4,16.4,2004,22.925,-101.68
Mexico,264.2,0,2002,22.925,-101.68
Mexico,238.1,0,2003,22.925,-101.68
Malaysia,10666.6,13322.5,2013,4.416,102.099
Malaysia,11278.3,12243.5,2012,4.416,102.099
Malaysia,9730,10855.4,2014,4.416,102.099
Malaysia,10995.8,10404.9,2011,4.416,102.099
Malaysia,6432.5,8922.3,2008,4.416,102.099
Malaysia,8441.1,8858.2,2017,4.416,102.099
Malaysia,9362.3,8648.7,2010,4.416,102.099
Malaysia,9271.6,8603,2018,4.416,102.099
Malaysia,7630.9,8530.7,2015,4.416,102.099
Malaysia,7069.5,7200.9,2016,4.416,102.099
Malaysia,5096.1,6411.9,2007,4.416,102.099
Malaysia,6811.8,5688.4,2009,4.416,102.099
Malaysia,4110.8,5587.3,2006,4.416,102.099
Malaysia,3431.3,4001.8,2005,4.416,102.099
Malaysia,3016,2964.7,2004,4.416,102.099
Malaysia,2029.9,2606.7,2002,4.416,102.099
Malaysia,2363.9,2521,2003,4.416,102.099
Lao Peoples Dem. Rep,4.6,51.3,2014,19.595,102.538
Lao Peoples Dem. Rep,7.3,25.7,2018,19.595,102.538
Lao Peoples Dem. Rep,0.5,12.3,2003,19.595,102.538
Lao Peoples Dem. Rep,4.2,11.9,2017,19.595,102.538
Lao Peoples Dem. Rep,5.8,7.6,2013,19.595,102.538
Lao Peoples Dem. Rep,5.9,4.2,2016,19.595,102.538
Lao Peoples Dem. Rep,23.8,3.3,2012,19.595,102.538
Lao Peoples Dem. Rep,3.7,2.9,2007,19.595,102.538
Lao Peoples Dem. Rep,8.6,1.3,2011,19.595,102.538
Lao Peoples Dem. Rep,7.7,0.8,2015,19.595,102.538
Lao Peoples Dem. Rep,5.5,0.6,2010,19.595,102.538
Lao Peoples Dem. Rep,4.7,0.4,2009,19.595,102.538
Lao Peoples Dem. Rep,0.7,0.3,2002,19.595,102.538
Lao Peoples Dem. Rep,4,0.2,2008,19.595,102.538
Lao Peoples Dem. Rep,4.3,0,2006,19.595,102.538
Lao Peoples Dem. Rep,1.8,0,2005,19.595,102.538
Lao Peoples Dem. Rep,1.6,0,2004,19.595,102.538
"Korea, Republic of",22941,12999.7,2011,36.338,128.16
"Korea, Republic of",21659.5,11970.4,2012,36.338,128.16
"Korea, Republic of",17605.9,11847.4,2014,36.338,128.16
