MajorPorts,Province,Year,Latitude,Longitude,Values
Pontianak,Kalimantan Barat,2015,-0.01847,109.33552,495.8
Pomalaa,Sulawesi Tenggara,2015,-4.23145,121.57935,128.9
Pantoloan,Sulawesi Tengah,2015,-0.69477,119.84041,340.2
Panjang,Lampung,2015,5.466666667,105.3166667,2315.9
Pangkalan Susu,Sumatera Utara,2015,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2015,2.984722222,104.8347222,362
Palembang (Kertapati),Sumatera Selatan,2015,-2.178201,104.952,196.6
Pakanbaru/Rumbai,Riau,2015,0.5566,101.4507,0.5
Padang/Teluk Bayur,Sumatera Barat,2015,-8.53394,115.5086,1753.1
Ngurah Rai 1,Bali,2015,-8.75,115.1667,252.2
Musi River/Boom Baru,Sumatera Selatan,2015,2.981111111,104.7816667,1883.8
Merak,Banten,2015,5.95,106,297.2
Mamuju,Sulawesi Barat,2015,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2015,-2.66317,120.98228,0
Lingkas Tarakan,Kalimantan Utara,2015,3.283333333,117.6,892.8
Kupang,NTT,2015,-10.15375,123.59051,0.1
Kotabaru,Kalimantan Selatan,2015,3.233333333,116.2166667,185.2
Kolaka,Sulawesi Tenggara,2015,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2015,1.352016667,104.1581722,1911.1
Hasanuddin 1,Sulawesi Selatan,2015,-5.14,119.4221,17.7
Dumai,Riau,2015,1.6861,101.44849,11415.9
Cirebon,Jawa Barat,2015,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2015,-7.74913,109.01491,126.9
Cigading,Banten,2015,6.016666667,105.95,294
Bontang,Kalimantan Timur,2015,0.08553,117.48763,6013.3
Blang Lancang (Arun),Aceh,2015,5.233333333,97.1,38.8
Bitung,Sulawesi Utara,2015,1.4389,125.19403,676.7
"Bintuni, Papua",Papua Barat,2015,0.82175,133.586425,2641.8
Bima,NTB,2015,-8.44602,118.71591,0
Benoa/Loloan,Bali,2015,-8.74329,115.20943,1.8
Belawan,Sumatera Utara,2015,3.79246,98.71623,6618.1
Batu Ampar,Kepulauan Riau,2015,1.169719444,104.02,3278.1
Banjarmasin,Kalimantan Selatan,2015,-3.33321,114.5551,3379.2
Balongan,Jawa Barat,2015,6.360561111,108.3902806,177.2
Balikpapan,Kalimantan Timur,2015,-1.25527,116.81594,1889.3
Bade Irian Jaya,Papua,2015,7.1687,139.5937,68.5
Atapupu,NTT,2015,8.9964,124.8617,21.2
Arjuna,Jawa Barat,2015,7.816666667,112.5666667,173.8
