MajorPorts,Province,Year,Latitude,Longitude,Values
Soekarno Hatta 1,DKI Jakarta,2016,5.1225,119.4078,120.1
Senipah,Kalimantan Timur,2016,0.95,117.1666667,1308.4
Sekupang,Kepulauan Riau,2016,1.133333333,103.9166667,292.1
Samarinda,Kalimantan Timur,2016,-0.50507,117.15071,81494.2
Pulau Sambu,Kepulauan Riau,2016,1.166666667,103.9,6.8
Pontianak,Kalimantan Barat,2016,-0.01847,109.33552,612.4
Pomalaa,Sulawesi Tenggara,2016,-4.23145,121.57935,52.2
Pantoloan,Sulawesi Tengah,2016,-0.69477,119.84041,576.9
Panjang,Lampung,2016,5.466666667,105.3166667,2550
Pangkalan Susu,Sumatera Utara,2016,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2016,2.984722222,104.8347222,389.3
Palembang (Kertapati),Sumatera Selatan,2016,-2.178201,104.952,4028.6
Pakanbaru/Rumbai,Riau,2016,0.5566,101.4507,57.9
Padang/Teluk Bayur,Sumatera Barat,2016,-8.53394,115.5086,3643.2
Ngurah Rai 1,Bali,2016,-8.75,115.1667,15.4
Musi River/Boom Baru,Sumatera Selatan,2016,2.981111111,104.7816667,3330.8
Merak,Banten,2016,5.95,106,698.3
Mamuju,Sulawesi Barat,2016,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2016,-2.66317,120.98228,0
Lingkas Tarakan,Kalimantan Timur,2016,3.283333333,117.6,11119.4
Kupang,NTT,2016,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2016,3.233333333,116.2166667,11411
Kolaka,Sulawesi Tenggara,2016,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2016,1.352016667,104.1581722,1428.9
Hasanuddin 1,Sulawesi Selatan,2016,-5.14,119.4221,6.5
Dumai,Riau,2016,1.6861,101.44849,21364.4
Cirebon,Jawa Barat,2016,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2016,-7.74913,109.01491,1072.6
Cigading,Banten,2016,6.016666667,105.95,1124.5
Bontang,Kalimantan Timur,2016,0.08553,117.48763,26356.3
Blang Lancang (Arun),Aceh,2016,5.233333333,97.1,0
"Bituni, Papua",Papua Barat,2016,,,6190.6
Bitung,Sulawesi Utara,2016,1.4389,125.19403,777.6
Bima,NTB,2016,-8.44602,118.71591,0
Benoa/Loloan,Bali,2016,-8.74329,115.20943,1.3
Belawan,Sumatera Utara,2016,3.79246,98.71623,6776.6
Batu Ampar,Kepulauan Riau,2016,1.169719444,104.02,800
Banjarmasin,Kalimantan Selatan,2016,-3.33321,114.5551,68512.5
