,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
68,Claire Redfield em resident evil infinite darkness parece com Fiona de Shrek quando era princesa.,0.33, 0.67, 0.0, -0.7506, 0, 0, 0, 0, 0
69,"I just watched Resident Evil: Infinite Darkness 1x04 ""Episode 4"" #vk https://t.co/Owxh44qPgu #trakt",0.478, 0.522, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
70,"I just watched Resident Evil: Infinite Darkness 1x03 ""Episode 3"" #vk https://t.co/TwlJGs7SZH #trakt",0.478, 0.522, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
71,"I just watched Resident Evil: Infinite Darkness 1x02 ""Episode 2"" #vk https://t.co/QCHKQUiYKg #trakt",0.478, 0.522, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
72,"I just watched Resident Evil: Infinite Darkness 1x01 ""Episode 1"" #vk https://t.co/L8BZM6hMbq #trakt",0.478, 0.522, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
73,"New Movies I got 2 weeks ago that I forgot to post... (sorry) 1/2

1. Resident Evil Welcome to Racoon City
2. Resident Evil Infinite Darkness 
3. Settlers 
4. Ghostbusters Afterlife 

#REWelcometoRacoonCity #InfiniteDarkness #Settlers #Ghostbustersafterlife https://t.co/rtr8mXawga",0.286, 0.635, 0.079, -0.8316, 0.5, 0.0, 0.5, 0.0, 0.0
78,NERDS REACT RESIDENT EVIL INFINITE DARKNESS https://t.co/6ILjQSK3PR,0.561, 0.439, 0.0, -0.7506, 0.0, 1.0, 0.0, 0.0, 0.0
79,"Resident evil:
Infinite darkness https://t.co/PiSUEQ9TVN",0.681, 0.319, 0.0, -0.7506, 0, 0, 0, 0, 0
82,@riamu_noa0705 resident evil infinite darkness has on netflix :)),0.561, 0.439, 0.0, -0.7506, 0, 0, 0, 0, 0
84,resident evil infinite darkness (2021) https://t.co/QlLweU42Xa,0.681, 0.319, 0.0, -0.7506, 0, 0, 0, 0, 0
85,Watching resident evil infinite darkness &lt;3,0.681, 0.319, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
86,I’ll chill out and watch Resident Evil: Infinite Darkness 😁 https://t.co/Hs1AdLcYCM,0.444, 0.556, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.5, 0.5
87,@CosmicTheOtaku @KodenX993 @MrThiccBone claire is with terrasave.. (resident evil revelations 2 + infinite darkness),0.386, 0.614, 0.0, -0.6597, 0.0, 0.0, 0.0, 0.0, 1.0
90,"Want to know the premise of the upcoming Infinite Darkness graphic novel? And the name of it?
Pretty sure this is the first reveal of it. #ResidentEvil https://t.co/8zpzK18oZV",0.06, 0.658, 0.283, 0.755, 0.0, 0.4, 0.2, 0.0, 0.4
91,"Resident Evil: Infinite Darkness
-
it's a good movie if you want plot, but I got spoiled with the insanity that was in Vendetta https://t.co/QbI3mDjL1M",0.315, 0.579, 0.106, -0.7992, 0.0, 0.0, 1.0, 0.0, 0.0
93,resident evil infinite darkness (2021) https://t.co/k2Jl5hMwaO,0.681, 0.319, 0.0, -0.7506, 0, 0, 0, 0, 0
94,"Our interview with Keith R.A. DeCandido (@KRADeC) is now online! He elaborates on his work crafting the novelizations to the live-action Resident Evil movies &amp; touches upon his Infinite Darkness graphic novel.

Thanks to Keith once again!

URL: https://t.co/IvevEg5Onr
#REBHFun https://t.co/Q6I2WWwnD5",0.151, 0.736, 0.113, -0.4184, 0.0, 0.75, 0.0, 0.25, 0.0
96,"Happy #MardiGras! 

Join in the fun and check out our Resident Evil: Infinite Darkness x Cocalero Collab! 

https://t.co/pxVhj1uo2I https://t.co/wAlcbZWifJ",0.229, 0.43, 0.34, 0.4753, 0.0, 0.0, 1.0, 0.0, 0.0
