,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
317,this is #scary #art! I got inspired to paint this after a phone call with #Jinn trying to teach me #Quran https://t.co/cNP5TROVWu,0.0, 0.824, 0.176, 0.4939, 0.0, 0.0, 0.5, 0.5, 0.0
322,A droid army is about to attack the Naboo. We must warn them.,0.31, 0.69, 0.0, -0.5423, 0.0, 1.0, 0.0, 0.0, 0.0
329,@dindagaw @JadeNfts done,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
330,"12 hrs left for the Second 1 of 1 Pieces of @MaestroJinn On @holaplex  🐉🔥🐲!!!! https://t.co/JdIyQgdLVb 
@holalistings @SolanaNFTs @solana https://t.co/2NbU2OptYa",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
332,"@MartianPLeague @viola729411 
@ZarChi2711 
@KaungKa70214428 
There is no other teams or projects which gives second chance to wL winners who missed to mint right in time 😅.
 That's why we believe and excited about MPL that gonna brings good damn future to us for sure without a doubt.",0.132, 0.594, 0.275, 0.7724, 0.0, 0.56, 0.11, 0.33, 0.0
338,How many times has Volkov been compared to Qui-Gon Jinn? 😂#UFCLondon,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
340,╱   not so daily i love jinn post .,0.417, 0.583, 0.0, -0.5535, 0.0, 0.0, 1.0, 0.0, 0.0
343,@JarredH [#GIF of Qui-Gon Jinn nodding and walking away] https://t.co/EfMXNIU1av,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
351,"In response, i say it'll be fine especially as long as its not going under like 15k or so. Season 2 coming out and lots of advertisement/events EZ related are yet to be released/announced, so there is still hope for this series in the end. https://t.co/d3cqN94rTU",0.043, 0.811, 0.146, 0.6237, 0.0, 0.38, 0.12, 0.25, 0.25
354,@fahad_s_ali idk if this relates but i remember when wild thoughts by her dropped there was a video of a women being possessed by a jinn when she was listening to that song i can’t ever listen to that song 😭,0.035, 0.965, 0.0, -0.0516, 0.0, 0.5, 0.0, 0.0, 0.5
355,@SVMMERISMS (ONLY JINN! ONLY JINN!,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
357,@snowdrop1567 Delete go quote the other guy this is old news,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
359,@Makingthings61 // ONLY JINN KNOWS AND THAT’S IT,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
361,...Another? Does It offer gift to Jinn...?,0.0, 0.633, 0.367, 0.4404, 0.0, 1.0, 0.0, 0.0, 0.0
365,@Chibimiie NICE I LOVE RUNE FACTORY,0.0, 0.222, 0.778, 0.7906, 0.0, 0.0, 1.0, 0.0, 0.0
373,THE JUJUTSU KAISEN MOVIE WAS SO FREAKING GOOD MAN,0.262, 0.507, 0.23, -0.1123, 0.0, 0.0, 1.0, 0.0, 0.0
382,#nowplaying The Change by River Flood Warning via @audiomack https://t.co/N7vroXZXOa,0.255, 0.745, 0.0, -0.34, 0.0, 1.0, 0.0, 0.0, 0.0
398,@kferrDC @issa_nadine @LOtwisa @TikiTakaConnor @Thomaspartey22 There is recompense for animals also but different from mankind and jinn recompense,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
405,#nowplaying Slava by River Flood Warning via @audiomack https://t.co/C65QjKld61,0.286, 0.714, 0.0, -0.34, 0.0, 1.0, 0.0, 0.0, 0.0
407,@shioncult my friends jinn eats pecnil lead i hope this helps,0.0, 0.4, 0.6, 0.8402, 0.0, 0.5, 0.25, 0.0, 0.25
414,@ElsaCristinaC @AlliCastner @MentorSkywalker @sammiehobbit9 @MariamSkywalker @ComCodyCC2224 @poindxterlounge @Lyatus21 @Leah_Erynn @Lukesfirststud2 Wonderful! &lt;3,0.0, 0.0, 1.0, 0.6114, 0.0, 0.0, 0.0, 0.0, 1.0
416,What a rallyyyy,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
417,@smutx_xv1 BEAUTIFUL,0.0, 0.0, 1.0, 0.5994, 0.0, 0.0, 1.0, 0.0, 0.0
418,@R3DRITH @Union_Keyblade Already did 💯,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
419,Dragon Ball is generic meathead garbage. https://t.co/50IGajF2kn,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
420,@BoredGamer @THEPOKEPLATEAU @Daphne64514604 Nice! Thanks!,0.0, 0.0, 1.0, 0.7418, 0.0, 0.0, 1.0, 0.0, 0.0
421,"Oh, don't worry. This hasn't been our day for warm welcomes.",0.0, 0.533, 0.467, 0.7189, 0.0, 0.25, 0.5, 0.25, 0.0
423,@RealJinn Are you isi account jinn we are with army but it doesnot mean coas can be holly cow,0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
424,@ChaezMc Did you explain to her that in Morocco they’re not demons but jinn?,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
425,"Got the force, I'll swing the stick like I'm Qui-Gon Jinn. Yeah, bitch, I'm feeling like a Jedi Knight",0.149, 0.51, 0.341, 0.4404, 0.0, 1.0, 0.0, 0.0, 0.0
428,@SimplyDango @Union_Keyblade ONG GET THAT LOSER 🗣,0.531, 0.469, 0.0, -0.5267, 0.0, 0.0, 0.0, 1.0, 0.0
429,@llocuraa play tf2,0.0, 0.294, 0.706, 0.34, 0.0, 1.0, 0.0, 0.0, 0.0
434,Fairy Tail peak. Stay mad https://t.co/5cv3jqk2WG https://t.co/ItQpCEY522,0.348, 0.652, 0.0, -0.4939, 1.0, 0.0, 0.0, 0.0, 0.0
435,"@JozoGators @Min1465403 
Good luck 
Wen gators wl",0.0, 0.337, 0.663, 0.7096, 0.0, 0.0, 1.0, 0.0, 0.0
437,"@ChicknAndChips These lot doing up jinn stories. I read so much about what the US did. Everything was to disturb, humiliate and break the prisoners.",0.322, 0.678, 0.0, -0.8591, 0.0, 0.0, 0.0, 0.67, 0.33
438,@JKNetwork1 @LocalAnimeNerd @R3DRITH Lying &gt;&gt;&gt;&gt;,1.0, 0.0, 0.0, -0.5267, 0, 0, 0, 0, 0
439,You sound so salty and jealous of Peak Fiction. https://t.co/N7kYvBeRIs,0.266, 0.734, 0.0, -0.5046, 0, 0, 0, 0, 0
441,"FT100 still selling more than EZ, so im good https://t.co/zCOkKNtPFQ https://t.co/FsRmLfOhOC",0.0, 0.602, 0.398, 0.7146, 0.0, 0.0, 1.0, 0.0, 0.0
443,@mena_jnr @_Fuhad_ My knee 😭,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
444,"Question: 

We often use the phrase, ""Barking dogs seldom bite"". But, what about barking bitches? https://t.co/jUKTV0W69U",0.276, 0.724, 0.0, -0.7469, 0.0, 1.0, 0.0, 0.0, 0.0
445,@mena_jnr @_Fuhad_ Bros make I enter abk na I no get anything to do for ekiti here,0.155, 0.845, 0.0, -0.296, 0.0, 0.0, 0.0, 1.0, 0.0
446,FT100 selling more in less than a week than what EZ could ever 😭 https://t.co/3Igig7tUZp,0.0, 0.828, 0.172, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
447,"I shook hands with midas and he turned into ashes.
I looked Medusa in the eyes and she went blind.",0.204, 0.796, 0.0, -0.4767, 0.0, 0.5, 0.0, 0.0, 0.5
448,I lied I’m on episode 3,0.464, 0.536, 0.0, -0.3818, 0.0, 0.0, 0.0, 1.0, 0.0
450,@LosPollosTV Society if LosPollos streamed consistently earlier in the day (6:00PM) https://t.co/p2e114eydO,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0
451,@Sheldon_Sniper What are your thoughts on the Ichimoku Cloud? I love that indicator. Patience is built into it.,0.0, 0.781, 0.219, 0.6369, 0.0, 0.4, 0.2, 0.4, 0.0
454,@Dunigan88791694 @TheNolffer @ThisIsKyleR I wouldn't be sorry if I killed a pedo either.,0.42, 0.466, 0.114, -0.646, 0.0, 0.33, 0.0, 0.33, 0.33
456,@_Fuhad_ Sporting don score,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
