,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
107,"Seriously, the is the most offensive thing to come to Netflix since Reboot: The Guardian Code. https://t.co/LnYvzUtjKY",0.25, 0.75, 0.0, -0.6115, 0.0, 0.0, 0.0, 0.5, 0.5
108,"Some political/social causes I support:
- #BLM 
- The #LGBTQIA community 
- Women’s rights
- A proper ending to the show #ReBoot (guardian code obviously doesn’t count)",0.0, 0.856, 0.144, 0.4019, 0.0, 0.75, 0.25, 0.0, 0.0
109,"@thomas_rsvd @jongraywb (Then they look less impressive when they show up in the recent ReBoot The Guardian Code and Mainframe is a vast wasteland of few characters, showing how bad cheap CGI gets compared even to the past)",0.091, 0.831, 0.078, -0.1263, 0.0, 0.4, 0.2, 0.4, 0.0
110,"@Neo_Kal @GlitchBob452 @apsniddler @imns42 @ianfisher86 @OriginalFunko @MainframeAnim Overall though, I do agree with you. Say what you want about ReBoot: The Guardian Code (many have), but the reality is this is a children’s IP that’s been dormant for 20 years and they tried to do something with it that would appeal to kids today. Sure, we’re all grown adults…",0.0, 0.887, 0.113, 0.5927, 0.0, 0.4, 0.2, 0.2, 0.2
111,im starting 2 watch reboot : the guardian code its liek a modern tech 2021 version of power rangers i love,0.0, 0.792, 0.208, 0.6369, 0.25, 0.0, 0.25, 0.0, 0.5
112,@toygrind as long as it doesn't involve reboot the guardian code i don't see why not ( i have my reasons ),0.0, 1.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.67, 0.0
113,@TheRealMrSweary Cancelled before its time...right up there with Firefly. I watched the pilot episode of Reboot: the Guardian Code and was like...meh. I flipped to YouTube to watch the cameos by Hex and Megabyte.,0.062, 0.938, 0.0, -0.25, 0.2, 0.2, 0.0, 0.2, 0.4
114,"This week, #LostInTranslation reviews ReBoot: The Guardian Code, aka the ReBoot reboot.

https://t.co/Gs6Ptpcz2o
@The7thSanctum 
@CrossroadsAlpha",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
115,@vas_90s @IanJames007 @MichaelBenyaer @GlitchBob452 @AdultSwimNoCon Reboot is great.  Reboot:The Guardian Code is NOT Reboot...it's a travesty,0.0, 0.53, 0.47, 0.7963, 0.0, 0.0, 1.0, 0.0, 0.0
116,"@Robby322 @JWonggg And this is likely why we don’t get that season on the Netflix here. Similar to other shows like Reboot guardian code, YTV held rights in Canada so it wasn’t on Netflix.",0.0, 0.925, 0.075, 0.3612, 0.0, 1.0, 0.0, 0.0, 0.0
117,"@jongraywb Personally, ReBoot Season 4 and ReBoot: Guardian Code are the bad type of handling. Especially with the later, as it made fun of older fans.",0.122, 0.764, 0.115, -0.0516, 0.0, 0.25, 0.25, 0.5, 0.0
118,That lrt just reminded me of Reboot: The Guardian Code and now I’m sick again https://t.co/x4xRCEosq8,0.18, 0.82, 0.0, -0.5106, 0.0, 0.0, 0.0, 1.0, 0.0
119,"@the_moviebob That's had REALLY mixed results as far as Netflix goes though... sometimes you get a Dark Crystal: Age of Resistance and others you end up with Reboot: The 
Guardian Code. So I'm pretty iffy on their track record when it comes to outside IP licenses.",0.0, 0.925, 0.075, 0.539, 0.12, 0.25, 0.12, 0.25, 0.25
