,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
94,watching episode 1 of all of us are dead .. yes I’m late we know .. IVE NEVER BEEN THIS STRESSED EVER WTFFF,0.264, 0.636, 0.101, -0.6542, 0.0, 0.0, 0.0, 0.6, 0.4
96,All of Us Are Dead ✅,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
102,"sometimes i sit back like ""damn im definitely not right in the head,"" bc why was i sitting there watch all of us are dead thinking, ""bro just let her khs it'd be a lot easier than trying to survive a zombie apocalypse,"" and you know what??? IM RIGHT.",0.083, 0.752, 0.165, 0.5007, 0.11, 0.44, 0.0, 0.22, 0.22
104,All of us are dead is getting kinda boring ngl and I’m on ep 7 https://t.co/ws16Er52Zc,0.327, 0.673, 0.0, -0.7436, 0.0, 0.0, 0.0, 1.0, 0.0
105,"All of Us are Dead is a great, intense zombie show with excellent cinematography and is for anyone who likes Korean horror or seeing teenagers getting eaten. Highly recommended.",0.186, 0.488, 0.325, 0.6115, 0.0, 0.25, 0.5, 0.0, 0.25
106,@OL5ON All of Us Are Dead is recent. But korean drama Flower of Evil still my personal favorite https://t.co/uOnIVN9LIA,0.315, 0.541, 0.144, -0.6956, 0.0, 0.5, 0.5, 0.0, 0.0
107,All of us are dead was great but I didn't like how they just friendzoned/left unresolved bare su hyeok and nam ra's relationship in the end smh.,0.252, 0.67, 0.078, -0.6922, 0.33, 0.33, 0.33, 0.0, 0.0
109,@milinha_____ all of us are dead,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
111,"@KurtBenkert Have you watched All of Us Are Dead, and 1883?",0.323, 0.677, 0.0, -0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
112,"@HSouthwellFE Fucking hell mate it's horrible, but nothing like as bad as for you. I'm not kidding when I say my family are not there anymore because we're already driven out, starved out or dead. I just want it all over for all of us. Again! Ffs x",0.389, 0.531, 0.079, -0.9699, 0.0, 0.29, 0.29, 0.14, 0.29
113,Cheolsoo is the worst character ever he's even worse than Nayeon (all of us are dead) like I get that you were bullied and it was hard but you just left them,0.238, 0.712, 0.05, -0.6808, 0.2, 0.2, 0.0, 0.4, 0.2
116,all of us are dead ep 11 was a lot,0.35, 0.65, 0.0, -0.6486, 0.0, 0.0, 0.0, 1.0, 0.0
117,starting the walking dead cus all of us are dead on netflix was a BIGGG w,0.417, 0.583, 0.0, -0.8625, 0, 0, 0, 0, 0
118,"@OL5ON not really a fan of watching so many movies or show :// the recent one i watched was All of Us are Dead, and now im watching the current season of Attack on Titan.",0.255, 0.745, 0.0, -0.8618, 0.0, 0.0, 0.0, 0.0, 1.0
119,@Greatness_tupu all of us are dead,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
122,"@MarisaKurz Solltest du auch Disney+ haben, Buffy the vampire slayer. Sonst umbrella academy, all of us are dead",0.212, 0.788, 0.0, -0.6486, 0.0, 1.0, 0.0, 0.0, 0.0
124,@LicoriceSucks @PaulaChertok @jaketapper @GeneralClark Are you not understanding what the probable result of US total involvement would be? Nuclear war leaves all of us dead in one way or another.,0.255, 0.745, 0.0, -0.8481, 0.0, 0.67, 0.0, 0.33, 0.0
125,watched episode 11 of all of us are dead.. that was 🥲🖤 gonna watch ep 12 tomorrow sobs 🥲,0.179, 0.821, 0.0, -0.5423, 0.0, 0.0, 0.0, 0.5, 0.5
128,I've just watched episode S01 | E11 of All of Us Are Dead! https://t.co/7WATHw2sG8 #tvtime https://t.co/CEJW0CUHT6,0.261, 0.739, 0.0, -0.68, 0.0, 0.0, 0.0, 0.5, 0.5
130,"""All of us are dead"" is good 👍🏼 https://t.co/hspkeWunjn",0.352, 0.41, 0.238, -0.34, 0.0, 0.0, 1.0, 0.0, 0.0
131,"i started watching ""all of us are dead"" and it's actually pretty good.",0.234, 0.435, 0.332, 0.2023, 0.0, 0.0, 0.5, 0.0, 0.5
132,@newjiqueens i truly believe she wouldve gone for one of the roles in all of us are dead. it seems like a project she would just fit???,0.131, 0.611, 0.258, 0.4836, 0.0, 0.5, 0.25, 0.25, 0.0
134,@convomf all of us are dead sih,0.462, 0.538, 0.0, -0.6486, 0, 0, 0, 0, 0
137,@Nestfloh All Of Us Are Dead,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
139,"just finished all of us are dead,, omg",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
140,I've just watched episode S01 | E07 of All of Us Are Dead! https://t.co/rk3DwSrF2g #tvtime https://t.co/hGfBFhJhUE,0.261, 0.739, 0.0, -0.68, 0.0, 0.0, 0.0, 0.5, 0.5
146,"@bluntded all of us are dead !!!!! if you haven’t seen it, HIGHLY recommend (if you’re into zombies at all) it’s only 12 1-hour episodes, looks to me like it had an insane budget, and i’m not sure if any of the actors are very well known, but it has Lee Yoo-Mi from Squid Games !!! so good",0.094, 0.741, 0.165, 0.6677, 0.0, 0.2, 0.2, 0.2, 0.4
148,"Here is where Mizzou shows all of us if they give a shit about basketball or not. The program is dead in the water. The fanbase is totally checked out and the only way out of it is making a good coaching hire. Mizzou, you are officially on the clock",0.142, 0.806, 0.052, -0.7184, 0.0, 0.2, 0.2, 0.4, 0.2
149,@NetflixBrasil All of us Are Dead 2 temporada por favor 🙏🏻🙏🏻 dona netflix.,0.287, 0.533, 0.18, -0.3818, 0.0, 0.0, 1.0, 0.0, 0.0
151,"It's Friday, I'm In Love by timetaker - 지금 우리 학교는 | All of Us Are Dead (TV) https://t.co/RjO1nbpI5C via @ao3org 

Someone keeps sending Namra love letters, and it’s not Suhyeok.
#namhyeok 

Last chapter is up!😊 Writing this was really fun. ♥️",0.089, 0.659, 0.253, 0.8395, 0.0, 0.2, 0.6, 0.0, 0.2
153,Tbh i need sieun and the one who played the main male lead in all of us are dead to act in a kdrama together AGAIN,0.15, 0.767, 0.084, -0.4404, 0.0, 1.0, 0.0, 0.0, 0.0
156,bruh im watching all of us are dead AND THIS BITCH IS GETTING ON MY NERVES,0.422, 0.578, 0.0, -0.8591, 0.0, 0.0, 0.0, 0.0, 1.0
159,i just finished watching all of us are dead and ARE YOU KIDDING ME WHAT WAS THAT END,0.208, 0.725, 0.068, -0.5994, 0.0, 0.0, 0.5, 0.0, 0.5
160,"Now that I have submitted my thesis to my committee, my next dream is to be a zombie extra in All of Us Are Dead. Peak zom com I'm the Train to Busan universe here.",0.115, 0.831, 0.054, -0.5106, 0, 0, 0, 0, 0
161,wow i love the new all of us are dead episode starring charlie 'slmccl' slimecicle !!,0.193, 0.448, 0.359, 0.5719, 0.0, 0.0, 0.33, 0.33, 0.33
164,"@ajosshi @minjinlee11 You hush.

Knowing season 2 of Bridgerton is coming is my only joy now that kid and I finished All of Us Are Dead.",0.153, 0.712, 0.135, -0.128, 0.0, 0.0, 0.33, 0.33, 0.33
