week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2022-02-06,TV (English),5,Sweet Magnolias,Sweet Magnolias: Season 2,43000000,1
2022-02-06,TV (English),6,Raising Dion,Raising Dion: Season 1,26460000,1
2022-02-06,TV (English),7,Ozark,Ozark: Season 1,19930000,3
2022-02-06,TV (English),8,Ozark,Ozark: Season 2,17360000,2
2022-02-06,TV (English),9,Ozark,Ozark: Season 3,17210000,2
2022-02-06,TV (English),10,The Sinner,The Sinner: Season 4: Percy,16690000,2
2022-02-06,TV (Non-English),1,All of Us Are Dead,All of Us Are Dead: Season 1,236230000,2
2022-02-06,TV (Non-English),2,Café con aroma de mujer,Café con aroma de mujer: Season 1,65860000,6
2022-02-06,TV (Non-English),3,Dark Desire,Dark Desire: Season 2,49590000,1
2022-02-06,TV (Non-English),4,I Am Georgina,I Am Georgina: Season 1,28740000,2
2022-02-06,TV (Non-English),5,Dark Desire,Dark Desire: Season 1,24990000,1
2022-02-06,TV (Non-English),6,Our Beloved Summer,Our Beloved Summer: Season 1,16030000,7
2022-02-06,TV (Non-English),7,Feria: The Darkest Light,Feria: The Darkest Light: Season 1,15960000,1
2022-02-06,TV (Non-English),8,The Queen of Flow,The Queen of Flow: Season 2,15050000,12
2022-02-06,TV (Non-English),9,Boruto: Naruto Next Generations,Boruto: Naruto Next Generations: Season 1,14360000,1
2022-02-06,TV (Non-English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11210000,11
2022-01-30,Films (English),1,The Royal Treatment,,26580000,2
2022-01-30,Films (English),2,Home Team,,21050000,1
2022-01-30,Films (English),3,Munich – The Edge of War,,17320000,2
2022-01-30,Films (English),4,Don't Look Up,,10250000,6
2022-01-30,Films (English),5,The Secret Life of Pets 2,,7850000,3
2022-01-30,Films (English),6,Red Notice,,6540000,12
2022-01-30,Films (English),7,Hotel Transylvania 3: Summer Vacation,,6280000,5
2022-01-30,Films (English),8,Brazen,,5840000,3
2022-01-30,Films (English),9,The Possession of Hannah Grace,,5760000,1
2022-01-30,Films (English),10,A Perfect Enemy,,4870000,1
2022-01-30,Films (Non-English),1,My Father's Violin,,12380000,2
2022-01-30,Films (Non-English),2,Amandla,,7990000,2
2022-01-30,Films (Non-English),3,Perfect Strangers,,4690000,2
2022-01-30,Films (Non-English),4,Shyam Singha Roy,,2880000,2
2022-01-30,Films (Non-English),5,Lost Bullet,,2630000,2
2022-01-30,Films (Non-English),6,How I Fell in Love with a Gangster,,2610000,4
2022-01-30,Films (Non-English),7,Photocopier,,1740000,3
2022-01-30,Films (Non-English),8,Blood Red Sky,,1690000,11
2022-01-30,Films (Non-English),9,Rogue City,,1400000,2
2022-01-30,Films (Non-English),10,Vicky and Her Mystery,,1400000,6
2022-01-30,TV (English),1,Ozark,Ozark: Season 4 Part 1,96340000,2
2022-01-30,TV (English),2,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,40080000,1
2022-01-30,TV (English),3,Archive 81,Archive 81: Season 1,36270000,3
2022-01-30,TV (English),4,Ozark,Ozark: Season 1,35230000,2
2022-01-30,TV (English),5,Too Hot to Handle,Too Hot to Handle: Season 3,31740000,2
2022-01-30,TV (English),6,In From the Cold,In From the Cold: Season 1,24720000,1
2022-01-30,TV (English),7,Ozark,Ozark: Season 2,21540000,1
2022-01-30,TV (English),8,The Sinner,The Sinner: Season 4: Percy,21320000,1
2022-01-30,TV (English),9,Ozark,Ozark: Season 3,20280000,1
2022-01-30,TV (English),10,Riverdale,Riverdale: Season 5,16460000,1
2022-01-30,TV (Non-English),1,All of Us Are Dead,All of Us Are Dead: Season 1,124790000,1
2022-01-30,TV (Non-English),2,Café con aroma de mujer,Café con aroma de mujer: Season 1,82750000,5
2022-01-30,TV (Non-English),3,I Am Georgina,I Am Georgina: Season 1,30630000,1
2022-01-30,TV (Non-English),4,Neymar: The Perfect Chaos,Neymar: The Perfect Chaos: Limited Series,26340000,1
2022-01-30,TV (Non-English),5,Our Beloved Summer,Our Beloved Summer: Season 1,22730000,6
2022-01-30,TV (Non-English),6,The Queen of Flow,The Queen of Flow: Season 2,17800000,11
2022-01-30,TV (Non-English),7,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11730000,10
2022-01-30,TV (Non-English),8,Summer Heat,Summer Heat: Season 1,11470000,1
2022-01-30,TV (Non-English),9,El marginal,El marginal: Season 4,10710000,2
2022-01-30,TV (Non-English),10,Carinha de Anjo,Carinha de Anjo: Season 1,10400000,15
2022-01-23,Films (English),1,The Royal Treatment,,42490000,1
2022-01-23,Films (English),2,Brazen,,28570000,2
2022-01-23,Films (English),3,Don't Look Up,,17130000,5
2022-01-23,Films (English),4,The Secret Life of Pets 2,,16800000,2
2022-01-23,Films (English),5,Riverdance: The Animated Adventure,,11840000,2
2022-01-23,Films (English),6,Munich – The Edge of War,,11110000,1
2022-01-23,Films (English),7,After We Fell,,8980000,1
2022-01-23,Films (English),8,Red Notice,,7310000,11
2022-01-23,Films (English),9,Back to the Outback,,6320000,7
2022-01-23,Films (English),10,Mother/Android,,5330000,3
2022-01-23,Films (Non-English),1,How I Fell in Love with a Gangster,,8690000,3
2022-01-23,Films (Non-English),2,Photocopier,,6920000,2
2022-01-23,Films (Non-English),3,Shyam Singha Roy,,3590000,1
2022-01-23,Films (Non-English),4,My Father's Violin,,3170000,1
2022-01-23,Films (Non-English),5,Perfect Strangers,,2670000,1
2022-01-23,Films (Non-English),6,Rogue City,,2450000,1
2022-01-23,Films (Non-English),7,Amandla,,2380000,1
2022-01-23,Films (Non-English),8,Lost Bullet,,2050000,1
2022-01-23,Films (Non-English),9,Blood Red Sky,,1870000,10
2022-01-23,Films (Non-English),10,Vicky and Her Mystery,,1780000,5
2022-01-23,TV (English),1,Ozark,Ozark: Season 4 Part 1,77010000,1
2022-01-23,TV (English),2,Archive 81,Archive 81: Season 1,70980000,2
2022-01-23,TV (English),3,Too Hot to Handle,Too Hot to Handle: Season 3,41100000,1
2022-01-23,TV (English),4,Stay Close,Stay Close: Limited Series,26980000,4
2022-01-23,TV (English),5,Ozark,Ozark: Season 1,24480000,1
2022-01-23,TV (English),6,Cobra Kai,Cobra Kai: Season 4,23840000,4
2022-01-23,TV (English),7,The Witcher,The Witcher: Season 2,22640000,6
2022-01-23,TV (English),8,Manifest,Manifest: Season 1,20760000,9
2022-01-23,TV (English),9,Cheer,Cheer: Season 2,20700000,2
2022-01-23,TV (English),10,Emily in Paris,Emily in Paris: Season 2,18240000,5
2022-01-23,TV (Non-English),1,Café con aroma de mujer,Café con aroma de mujer: Season 1,96360000,4
2022-01-23,TV (Non-English),2,El marginal,El marginal: Season 4,21730000,1
2022-01-23,TV (Non-English),3,The Queen of Flow,The Queen of Flow: Season 2,21200000,10
2022-01-23,TV (Non-English),4,Our Beloved Summer,Our Beloved Summer: Season 1,19740000,5
2022-01-23,TV (Non-English),5,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11640000,9
2022-01-23,TV (Non-English),6,Yeh Kaali Kaali Ankhein,Yeh Kaali Kaali Ankhein: Season 1,11260000,1
2022-01-23,TV (Non-English),7,Carinha de Anjo,Carinha de Anjo: Season 1,10690000,14
2022-01-23,TV (Non-English),8,Squid Game,Squid Game: Season 1,10200000,19
2022-01-23,TV (Non-English),9,Money Heist,Money Heist: Part 5,10000000,14
2022-01-23,TV (Non-English),10,The Queen of Flow,The Queen of Flow: Season 1,9950000,8
2022-01-16,Films (English),1,Brazen,,45340000,1
2022-01-16,Films (English),2,Don't Look Up,,28390000,4
2022-01-16,Films (English),3,Mother/Android,,23170000,2
2022-01-16,Films (English),4,The Secret Life of Pets 2,,9390000,1
2022-01-16,Films (English),5,Just Go With It,,8790000,3
2022-01-16,Films (English),6,Red Notice,,8710000,10
2022-01-16,Films (English),7,Back to the Outback,,8710000,6
2022-01-16,Films (English),8,Tides,,8470000,1
2022-01-16,Films (English),9,Riverdance: The Animated Adventure,,7860000,1
2022-01-16,Films (English),10,The Clovehitch Killer,,7000000,1
2022-01-16,Films (Non-English),1,How I Fell in Love with a Gangster,,11510000,2
2022-01-16,Films (Non-English),2,Four to Dinner,,4750000,2
2022-01-16,Films (Non-English),3,The Wasteland,,4640000,2
2022-01-16,Films (Non-English),4,Chandigarh Kare Aashiqui,,4610000,2
2022-01-16,Films (Non-English),5,Photocopier,,4440000,1
2022-01-16,Films (Non-English),6,Major Grom: Plague Doctor,,3120000,6
2022-01-16,Films (Non-English),7,Minnal Murali,,2510000,4
2022-01-16,Films (Non-English),8,Vicky and Her Mystery,,2070000,4
2022-01-16,Films (Non-English),9,Lulli,,2000000,3
2022-01-16,Films (Non-English),10,Sin Nombre,,1830000,2
2022-01-16,TV (English),1,Stay Close,Stay Close: Limited Series,53720000,3
2022-01-16,TV (English),2,Cobra Kai,Cobra Kai: Season 4,41240000,3
2022-01-16,TV (English),3,The Witcher,The Witcher: Season 2,34350000,5
2022-01-16,TV (English),4,Emily in Paris,Emily in Paris: Season 2,30020000,4
2022-01-16,TV (English),5,Cheer,Cheer: Season 2,29080000,1
2022-01-16,TV (English),6,Manifest,Manifest: Season 1,28120000,8
2022-01-16,TV (English),7,Archive 81,Archive 81: Season 1,22220000,1
2022-01-16,TV (English),8,The Witcher,The Witcher: Season 1,18580000,6
2022-01-16,TV (English),9,Manifest,Manifest: Season 2,14810000,3
2022-01-16,TV (English),10,Cobra Kai,Cobra Kai: Season 3,13950000,2
2022-01-16,TV (Non-English),1,Café con aroma de mujer,Café con aroma de mujer: Season 1,98850000,3
2022-01-16,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,24210000,9
2022-01-16,TV (Non-English),3,Rebelde,Rebelde: Season 1,23880000,2
2022-01-16,TV (Non-English),4,Single’s Inferno,Single’s Inferno: Season 1,19250000,3
2022-01-16,TV (Non-English),5,Our Beloved Summer,Our Beloved Summer: Season 1,18710000,4
2022-01-16,TV (Non-English),6,Undercover,Undercover: Season 3,16830000,1
2022-01-16,TV (Non-English),7,Money Heist,Money Heist: Part 5,13000000,13
2022-01-16,TV (Non-English),8,Undercover,Undercover: Season 1,12070000,1
2022-01-16,TV (Non-English),9,Carinha de Anjo,Carinha de Anjo: Season 1,11860000,13
2022-01-16,TV (Non-English),10,Squid Game,Squid Game: Season 1,11780000,18
2022-01-09,Films (English),1,Don't Look Up,,58200000,3
2022-01-09,Films (English),2,Mother/Android,,29730000,1
2022-01-09,Films (English),3,The Lost Daughter,,20370000,2
2022-01-09,Films (English),4,Back to the Outback,,12430000,5
2022-01-09,Films (English),5,The Unforgivable,,11340000,5
2022-01-09,Films (English),6,Red Notice,,11090000,9
2022-01-09,Films (English),7,Just Go With It,,10530000,2
2022-01-09,Films (English),8,Journey 2: The Mysterious Island,,10520000,2
2022-01-09,Films (English),9,Seal Team,,10310000,1
2022-01-09,Films (English),10,The Longest Yard,,9960000,1
2022-01-09,Films (Non-English),1,The Wasteland,,11930000,1
2022-01-09,Films (Non-English),2,Four to Dinner,,7440000,1
2022-01-09,Films (Non-English),3,How I Fell in Love with a Gangster,,6150000,1
2022-01-09,Films (Non-English),4,Chandigarh Kare Aashiqui,,5300000,1
2022-01-09,Films (Non-English),5,Minnal Murali,,5080000,3
2022-01-09,Films (Non-English),6,Lulli,,4020000,2
2022-01-09,Films (Non-English),7,Vicky and Her Mystery,,3830000,3
2022-01-09,Films (Non-English),8,Major Grom: Plague Doctor,,2830000,5
2022-01-09,Films (Non-English),9,STAND BY ME Doraemon 2,,2410000,3
2022-01-09,Films (Non-English),10,Sin Nombre,,2300000,1
2022-01-09,TV (English),1,Cobra Kai,Cobra Kai: Season 4,107810000,2
2022-01-09,TV (English),2,Stay Close,Stay Close: Limited Series,91180000,2
2022-01-09,TV (English),3,The Witcher,The Witcher: Season 2,57340000,4
2022-01-09,TV (English),4,Emily in Paris,Emily in Paris: Season 2,50540000,3
2022-01-09,TV (English),5,Manifest,Manifest: Season 1,30160000,7
2022-01-09,TV (English),6,The Witcher,The Witcher: Season 1,28510000,5
2022-01-09,TV (English),7,Cobra Kai,Cobra Kai: Season 1,23850000,2
2022-01-09,TV (English),8,Queer Eye,Queer Eye: Season 6,23060000,2
2022-01-09,TV (English),9,Cobra Kai,Cobra Kai: Season 3,20100000,1
2022-01-09,TV (English),10,Cobra Kai,Cobra Kai: Season 2,19340000,1
2022-01-09,TV (Non-English),1,Café con aroma de mujer,Café con aroma de mujer: Season 1,82980000,2
2022-01-09,TV (Non-English),2,Rebelde,Rebelde: Season 1,33180000,1
2022-01-09,TV (Non-English),3,The Queen of Flow,The Queen of Flow: Season 2,28480000,8
2022-01-09,TV (Non-English),4,Single’s Inferno,Single’s Inferno: Season 1,25800000,2
2022-01-09,TV (Non-English),5,The Silent Sea,The Silent Sea: Season 1,19710000,3
2022-01-09,TV (Non-English),6,Money Heist,Money Heist: Part 5,18770000,12
2022-01-09,TV (Non-English),7,Our Beloved Summer,Our Beloved Summer: Season 1,15950000,3
2022-01-09,TV (Non-English),8,Squid Game,Squid Game: Season 1,14980000,17
2022-01-09,TV (Non-English),9,Kitz,Kitz: Season 1,14650000,1
2022-01-09,TV (Non-English),10,Daughter From Another Mother,Daughter From Another Mother: Season 2,13340000,3
2022-01-02,Films (English),1,Don't Look Up,,152290000,2
2022-01-02,Films (English),2,The Unforgivable,,21310000,4
2022-01-02,Films (English),3,The Lost Daughter,,18260000,1
2022-01-02,Films (English),4,Back to the Outback,,17720000,4
2022-01-02,Films (English),5,Red Notice,,14540000,8
2022-01-02,Films (English),6,Spider-Man: Homecoming,,14180000,3
2022-01-02,Films (English),7,Fast & Furious Presents: Hobbs & Shaw,,12870000,2
2022-01-02,Films (English),8,Death to 2021,,10380000,1
2022-01-02,Films (English),9,Journey 2: The Mysterious Island,,5440000,1
2022-01-02,Films (English),10,Spider-Man,,5430000,1
2022-01-02,Films (Non-English),1,Lulli,,15210000,1
2022-01-02,Films (Non-English),2,Vicky and Her Mystery,,15160000,2
2022-01-02,Films (Non-English),3,Minnal Murali,,11440000,2
2022-01-02,Films (Non-English),4,STAND BY ME Doraemon 2,,6730000,2
2022-01-02,Films (Non-English),5,1000 Miles from Christmas,,6650000,2
2022-01-02,Films (Non-English),6,Intervenção,,3650000,1
2022-01-02,Films (Non-English),7,The Whole Truth,,2780000,5
2022-01-02,Films (Non-English),8,Anonymously Yours,,2060000,4
2022-01-02,Films (Non-English),9,The Hand of God,,2000000,3
2022-01-02,Films (Non-English),10,Sooryavanshi,,1970000,5
2022-01-02,TV (English),1,Cobra Kai,Cobra Kai: Season 4,120060000,1
2022-01-02,TV (English),2,The Witcher,The Witcher: Season 2,94270000,3
2022-01-02,TV (English),3,Emily in Paris,Emily in Paris: Season 2,91980000,2
2022-01-02,TV (English),4,The Witcher,The Witcher: Season 1,42890000,4
2022-01-02,TV (English),5,Stay Close,Stay Close: Limited Series,31290000,1
2022-01-02,TV (English),6,Emily in Paris,Emily in Paris: Season 1,25170000,2
2022-01-02,TV (English),7,Queer Eye,Queer Eye: Season 6,14420000,1
2022-01-02,TV (English),8,Cobra Kai,Cobra Kai: Season 1,13450000,1
2022-01-02,TV (English),9,Crime Scene: The Times Square Killer,Crime Scene: The Times Square Killer: Limited Series,13070000,1
2022-01-02,TV (English),10,WWII in Color: Road to Victory,WWII in Color: Road to Victory: Season 1,12680000,2
2022-01-02,TV (Non-English),1,The Silent Sea,The Silent Sea: Season 1,47830000,2
2022-01-02,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,29530000,7
2022-01-02,TV (Non-English),3,Money Heist,Money Heist: Part 5,26310000,11
2022-01-02,TV (Non-English),4,Daughter From Another Mother,Daughter From Another Mother: Season 2,24000000,2
2022-01-02,TV (Non-English),5,Café con aroma de mujer,Café con aroma de mujer: Season 1,23230000,1
2022-01-02,TV (Non-English),6,Squid Game,Squid Game: Season 1,18110000,16
2022-01-02,TV (Non-English),7,The Girl from Oslo,The Girl from Oslo: Season 1,17460000,2
2022-01-02,TV (Non-English),8,Single’s Inferno,Single’s Inferno: Season 1,17150000,1
2022-01-02,TV (Non-English),9,Our Beloved Summer,Our Beloved Summer: Season 1,13840000,2
2022-01-02,TV (Non-English),10,The Queen of Flow,The Queen of Flow: Season 1,11280000,7
2021-12-26,Films (English),1,Don't Look Up,,111030000,1
2021-12-26,Films (English),2,The Unforgivable,,26600000,3
2021-12-26,Films (English),3,Fast & Furious Presents: Hobbs & Shaw,,26590000,1
2021-12-26,Films (English),4,Back to the Outback,,24750000,3
2021-12-26,Films (English),5,Spider-Man: Homecoming,,20000000,2
2021-12-26,Films (English),6,The Christmas Chronicles,,12910000,4
2021-12-26,Films (English),7,Red Notice,,12140000,7
2021-12-26,Films (English),8,A California Christmas: City Lights,,11630000,2
2021-12-26,Films (English),9,The Christmas Chronicles: Part Two,,10990000,3
2021-12-26,Films (English),10,A Boy Called Christmas,,9120000,5
2021-12-26,Films (Non-English),1,Vicky and Her Mystery,,8150000,1
2021-12-26,Films (Non-English),2,Grumpy Christmas,,8140000,1
2021-12-26,Films (Non-English),3,1000 Miles from Christmas,,6940000,1
2021-12-26,Films (Non-English),4,Minnal Murali,,5990000,1
2021-12-26,Films (Non-English),5,STAND BY ME Doraemon 2,,2990000,1
2021-12-26,Films (Non-English),6,The Whole Truth,,2970000,4
2021-12-26,Films (Non-English),7,The Hand of God,,2940000,2
2021-12-26,Films (Non-English),8,Anonymously Yours,,2800000,3
2021-12-26,Films (Non-English),9,David and the Elves,,2450000,3
2021-12-26,Films (Non-English),10,Sooryavanshi,,2390000,4
2021-12-26,TV (English),1,The Witcher,The Witcher: Season 2,168460000,2
2021-12-26,TV (English),2,Emily in Paris,Emily in Paris: Season 2,107640000,1
2021-12-26,TV (English),3,The Witcher,The Witcher: Season 1,60670000,3
2021-12-26,TV (English),4,Emily in Paris,Emily in Paris: Season 1,18040000,1
2021-12-26,TV (English),5,Titans,Titans: Season 3,12560000,3
2021-12-26,TV (English),6,Lost in Space,Lost in Space: Season 3,11650000,4
2021-12-26,TV (English),7,WWII in Color: Road to Victory,WWII in Color: Road to Victory: Season 1,9510000,1
2021-12-26,TV (English),8,PAW Patrol,PAW Patrol: Season 6,9360000,2
2021-12-26,TV (English),9,CoComelon,CoComelon: Season 4,9260000,5
2021-12-26,TV (English),10,Maid,Maid: Limited Series,8750000,13
2021-12-26,TV (Non-English),1,Money Heist,Money Heist: Part 5,33470000,10
2021-12-26,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,30560000,6
2021-12-26,TV (Non-English),3,The Silent Sea,The Silent Sea: Season 1,22230000,1
2021-12-26,TV (Non-English),4,The Girl from Oslo,The Girl from Oslo: Season 1,19780000,1
2021-12-26,TV (Non-English),5,Squid Game,Squid Game: Season 1,15100000,15
2021-12-26,TV (Non-English),6,The King's Affection,The King's Affection: Season 1,13050000,10
2021-12-26,TV (Non-English),7,Daughter From Another Mother,Daughter From Another Mother: Season 2,13040000,1
2021-12-26,TV (Non-English),8,The Queen of Flow,The Queen of Flow: Season 1,10810000,6
2021-12-26,TV (Non-English),9,Our Beloved Summer,Our Beloved Summer: Season 1,9980000,1
2021-12-26,TV (Non-English),10,Carinha de Anjo,Carinha de Anjo: Season 1,9420000,12
2021-12-19,Films (English),1,The Unforgivable,,74440000,2
2021-12-19,Films (English),2,Back to the Outback,,38990000,2
2021-12-19,Films (English),3,A California Christmas: City Lights,,22860000,1
2021-12-19,Films (English),4,Red Notice,,12710000,6
2021-12-19,Films (English),5,The Shack,,11730000,1
2021-12-19,Films (English),6,Spider-Man: Homecoming,,9370000,1
2021-12-19,Films (English),7,John Wick: Chapter 3 - Parabellum,,8790000,1
2021-12-19,Films (English),8,The Christmas Chronicles,,8430000,3
2021-12-19,Films (English),9,The Christmas Chronicles: Part Two,,7840000,2
2021-12-19,Films (English),10,A Boy Called Christmas,,7270000,4
2021-12-19,Films (Non-English),1,Anonymously Yours,,12020000,2
2021-12-19,Films (Non-English),2,The Hand of God,,7710000,1
2021-12-19,Films (Non-English),3,Two,,6000000,2
2021-12-19,Films (Non-English),4,The Whole Truth,,4640000,3
2021-12-19,Films (Non-English),5,Sooryavanshi,,4000000,3
2021-12-19,Films (Non-English),6,Bordertown: Mural Murders,,3540000,3
2021-12-19,Films (Non-English),7,David and the Elves,,3360000,2
2021-12-19,Films (Non-English),8,Spoiled Brats,,3350000,4
2021-12-19,Films (Non-English),9,Escape From Mogadishu,,3260000,1
2021-12-19,Films (Non-English),10,Green Snake,,2970000,3
2021-12-19,TV (English),1,The Witcher,The Witcher: Season 2,142430000,1
2021-12-19,TV (English),2,The Witcher,The Witcher: Season 1,49180000,2
2021-12-19,TV (English),3,Titans,Titans: Season 3,23810000,2
2021-12-19,TV (English),4,Lost in Space,Lost in Space: Season 3,19010000,3
2021-12-19,TV (English),5,Selling Tampa,Selling Tampa: Season 1,14230000,1
2021-12-19,TV (English),6,Lost in Space,Lost in Space: Season 1,11960000,3
2021-12-19,TV (English),7,Maid,Maid: Limited Series,10620000,12
2021-12-19,TV (English),8,Titans,Titans: Season 1,10340000,1
2021-12-19,TV (English),9,Arcane,Arcane: Season 1,10010000,6
2021-12-19,TV (English),10,CoComelon,CoComelon: Season 4,10000000,4
2021-12-19,TV (Non-English),1,Money Heist,Money Heist: Part 5,55010000,9
2021-12-19,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,39980000,5
2021-12-19,TV (Non-English),3,The King's Affection,The King's Affection: Season 1,18120000,9
2021-12-19,TV (Non-English),4,Squid Game,Squid Game: Season 1,15430000,14
2021-12-19,TV (Non-English),5,The Queen of Flow,The Queen of Flow: Season 1,12970000,5
2021-12-19,TV (Non-English),6,Money Heist,Money Heist: Part 1,12590000,7
2021-12-19,TV (Non-English),7,Carinha de Anjo,Carinha de Anjo: Season 1,11290000,11
2021-12-19,TV (Non-English),8,Aranyak,Aranyak: Season 1,10360000,1
2021-12-19,TV (Non-English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",8010000,8
2021-12-19,TV (Non-English),10,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,7520000,16
2021-12-12,Films (English),1,The Unforgivable,,85860000,1
2021-12-12,Films (English),2,Red Notice,,18010000,5
2021-12-12,Films (English),3,Back to the Outback,,16170000,1
2021-12-12,Films (English),4,The Power of the Dog,,13280000,2
2021-12-12,Films (English),5,Single All The Way,,11140000,2
2021-12-12,Films (English),6,A Boy Called Christmas,,10750000,3
2021-12-12,Films (English),7,A Castle For Christmas,,10050000,3
2021-12-12,Films (English),8,Redemption Day,,9790000,1
2021-12-12,Films (English),9,Bruised,,8970000,3
2021-12-12,Films (English),10,The Christmas Chronicles,,8510000,2
2021-12-12,Films (Non-English),1,The Whole Truth,,10540000,2
2021-12-12,Films (Non-English),2,Spoiled Brats,,9820000,3
2021-12-12,Films (Non-English),3,David and the Elves,,9110000,1
