director,show_id
Justin Benson,s1035
Aaron Moorhead,s1035
Niki Caro,s1036
Mark Dennis,s1037
Ben Foster,s1037
Taranveer Singh,s1038
TT The Artist,s1040
Keiichi Sato,s1042
Yasushi Kawamura,s1042
Glenn Weiss,s1043
Michael Civille,s1047
Ryuichi Hiroki,s1051
Paul Thomas Anderson,s1053
One9,s1054
Adriano Rudiman,s1055
Luis Valdez,s1056
Cheng Wei-hao,s1067
Pass Patthanakumjon,s1068
Buchi Babu Sana,s1070
Fredrick Munk,s1071
Suhas Kadav,s1072
Suhas Kadav,s1073
Suhas Kadav,s1074
Suhas Kadav,s1075
Moyoung Jin,s1076
Caroline Sá,s1076
Deepti Kakkar,s1076
Fahad Mustafa,s1076
Hikaru Toda,s1076
Chico Pereira,s1076
Elaine McMillion Sheldon,s1076
Suhas Kadav,s1077
Suhas Kadav,s1078
Suhas Kadav,s1079
Zhao Ji,s1081
Jamie Babbit,s1084
Park Hoon-jung,s1086
Dare Olaitan,s1087
Hardik Mehta,s1088
Ben Falcone,s1089
Travon Free,s1090
Martin Desmond Roe,s1090
Angga Dwimas Sasongko,s1091
Steve Rolston,s1097
Shalini Kantayya,s1098
Madonne Ashwin,s1099
Enah Johnscott,s1100
Braden R. Duemmler,s1101
Cal Brunker,s1102
Steve Pink,s1103
Xiao Feng,s1104
Vince Marcello,s1105
Ricky Staub,s1106
Patrick Durham,s1107
Paul G. Volk,s1107
BB Sasore,s1108
Naseef Yusuf Izuddin,s1109
Appie Boudellah,s1110
Aram van de Rest,s1110
Sylvie Verheyde,s1111
Nick Moore,s1112
Alex Zamm,s1113
Roland Emmerich,s1114
Rajkumar Hirani,s1115
Rajesh Mapuskar,s1116
Lina Al Abed,s1118
James Wan,s1119
David Hackl,s1120
Takeshi Nozue,s1121
Robert Luketic,s1122
Subhash Kapoor,s1123
Ringo Lam,s1125
George Cukor,s1127
Tony Giglio,s1129
Hidenori Inoue,s1131
Hidenori Inoue,s1132
Hidenori Inoue,s1133
Don Michael Paul,s1134
Shinji Aramaki,s1135
Masaru Matsumoto,s1135
John Luessenhop,s1136
Hanung Bramantyo,s1137
Pandu Adjisurya,s1137
Bashir El Deek,s1138
Roman Polański,s1139
Nelson McCormick,s1140
Mic Rodgers,s1141
Bejoy Nambiar,s1142
Shawn Rech,s1143
Peyton Reed,s1145
Julian Schnabel,s1146
Adrián García Bogliano,s1147
Jose Gomez,s1148
Jonathon Link,s1151
Blair Simmons,s1152
Justin Chadwick,s1154
John Hillcoat,s1155
Nadine Ibrahim,s1156
Roman White,s1157
Fermín Muguruza,s1160
Mike Hodges,s1161
Eylem Kaftan,s1163
Fernando Ayllón,s1165
Umesh Bist,s1166
Massimiliano Camaiti,s1168
Aleksey Tsitsilin,s1171
Ali Tabrizi,s1172
Kagiso Lediga,s1173
Jung-ah Im,s1174
Stephen Frears,s1176
Takuma Sato,s1177
Brody Chu,s1178
Dimitri Logothetis,s1179
Taketoshi Sado,s1184
Li Weiran,s1185
Chinaza Onuzo,s1186
Anna Elizabeth James,s1188
Vitor Brandt,s1189
Troy Miller,s1190
Liam O'Donnell,s1191
Manny Rodriguez,s1192
Jay Lavender,s1192
Farah Nabulsi,s1193
Adriano Rudiman,s1194
Walter Taylaur,s1195
Chris Smith,s1196
Alain Brunard,s1197
Tate Taylor,s1198
Ladislaus Kiraly,s1199
Oliver Stone,s1200
Hemambar Jasti,s1203
Steven Spielberg,s1204
Taylor Morden,s1205
Helena Coan,s1208
Muharrem Gülmez,s1209
Dolapo Adeleke,s1210
Mahsun Kırmızıgül,s1212
Can Ulkay,s1213
Luis Alejandro Pérez,s1215
Ketche,s1216
Erol Özlevi,s1217
Miguel Arteta,s1219
Tolga Örnek,s1220
Pablo Agüero,s1221
Mohammad Irfan Ramly,s1222
Kevin McManus,s1223
Matthew McManus,s1223
Ange Basterga,s1224
Nicolas Lopez,s1224
Gitanjali Rao,s1229
Halitha Shameem,s1231
Carlos Moreno,s1233
Kayode Kasum,s1234
Maribel Sánchez-Maroto,s1235
Julien Leclercq,s1237
Fajar Bustomi,s1238
Taylor Hackford,s1240
Lasse Hallström,s1241
Amy Poehler,s1242
Jared Hess,s1243
Tyler Measom,s1243
Mike Binder,s1244
Abir Sengupta,s1245
Sunny Lau,s1247
Hidenori Inoue,s1248
Emmett Malloy,s1249
Xavier Maingon,s1250
